ID,SETUP,PUNCH,PIADA,len_setup,len_punch,len_piadas,ratio_setup_punch,setup_limpo,punch_limpo,n_palavras_setup,n_palavras_punch,carac_nao_alfab_setup,carac_nao_alfab_punch,tem_pergunta,tem_dialogo,diversidade_lexical
244,"O carro do Manuel enguiçou no meio da rua, então ele pediu ajuda a um cara que estava a passar por lá. - Com licença, o senhoire poderia me ajudaire? - Sim? - É que eu esqueci a chave do carro dentro do carro, que está trancado - Ok, eu tenho aqui um grampo de cabelo E então o cara começou a futricar na fechadura do carro, colocava o grampo, girava, amassava... E então o Manuel o interrompeu:"," - Por favoire, andes rápido, pois deixei o teto solar aberta e está começando a chover.","O carro do Manuel enguiçou no meio da rua, então ele pediu ajuda a um cara que estava a passar por lá. - Com licença, o senhoire poderia me ajudaire? - Sim? - É que eu esqueci a chave do carro dentro do carro, que está trancado - Ok, eu tenho aqui um grampo de cabelo E então o cara começou a futricar na fechadura do carro, colocava o grampo, girava, amassava... E então o Manuel o interrompeu: - Por favoire, andes rápido, pois deixei o teto solar aberta e está começando a chover.",395,88,483,4.438202247191011,o carro do manuel enguicou no meio da rua entao ele pediu ajuda a um cara que estava a passar por la. - com licenca o senhoire poderia me ajudaire? - sim? - e que eu esqueci a chave do carro dentro do carro que esta trancado - ok eu tenho aqui um grampo de cabelo e entao o cara comecou a futricar na fechadura do carro colocava o grampo girava amassava... e entao o manuel o interrompeu,- por favoire andes rapido pois deixei o teto solar aberta e esta comecando a chover.,78,16,10,2,True,True,0.6329113924050633
245,"O Manuel era muito rico, tinha muitas padarias e gostava da Maria, então ele foi falar com ela:"," - Óh Maria, se adivinhares o número exato de padarias que eu tenho eu te dou uma e fico com a outra!","O Manuel era muito rico, tinha muitas padarias e gostava da Maria, então ele foi falar com ela: - Óh Maria, se adivinhares o número exato de padarias que eu tenho eu te dou uma e fico com a outra!",95,101,196,0.9313725490196079,o manuel era muito rico tinha muitas padarias e gostava da maria entao ele foi falar com ela,- oh maria se adivinhares o numero exato de padarias que eu tenho eu te dou uma e fico com a outra!,18,22,0,2,False,False,0.9473684210526315
246,"O Manuel estava andando na rua e, de repente, tomou uma puta tijolada no peito e rapidamente,", ele olhou pra trás pra ver quem foi.,"O Manuel estava andando na rua e, de repente, tomou uma puta tijolada no peito e rapidamente, ele olhou pra trás pra ver quem foi.",93,37,130,2.4473684210526314,o manuel estava andando na rua e de repente tomou uma puta tijolada no peito e rapidamente,ele olhou pra tras pra ver quem foi.,17,8,0,1,False,False,0.8888888888888888
247,"O portuga, sentado no trem, começa a ouvir os passageiros da frente contarem piadas de português e reclama: - Vocês tomem cuidado com estas piadas, pois sou português."," - Não tem problema, a gente conta várias vezes.","O portuga, sentado no trem, começa a ouvir os passageiros da frente contarem piadas de português e reclama: - Vocês tomem cuidado com estas piadas, pois sou português. - Não tem problema, a gente conta várias vezes.",167,48,215,3.4081632653061225,o portuga sentado no trem comeca a ouvir os passageiros da frente contarem piadas de portugues e reclama - voces tomem cuidado com estas piadas pois sou portugues.,- nao tem problema a gente conta varias vezes.,28,9,2,2,False,True,0.9310344827586207
248,"O português foi ao médico e reclamou de fortes dores no estômago: - Acho que foram as ostras que eu comi ontem. - Elas estavam frescas? - Quis logo saber o médico. - Bem... Não tenho certeza. - Mas quando você abriu as conchas, que cor elas tinham?"," - Ah! Doutor, tinha que abrir as conchas?!","O português foi ao médico e reclamou de fortes dores no estômago: - Acho que foram as ostras que eu comi ontem. - Elas estavam frescas? - Quis logo saber o médico. - Bem... Não tenho certeza. - Mas quando você abriu as conchas, que cor elas tinham? - Ah! Doutor, tinha que abrir as conchas?!",248,43,291,5.636363636363637,o portugues foi ao medico e reclamou de fortes dores no estomago - acho que foram as ostras que eu comi ontem. - elas estavam frescas? - quis logo saber o medico. - bem... nao tenho certeza. - mas quando voce abriu as conchas que cor elas tinham?,- ah! doutor tinha que abrir as conchas?!,48,8,13,4,True,True,0.7959183673469388
249,"O português resolveu conhecer a Alemanha. Comprou a passagem de avião e, enquanto preenchia a papelada, falava sozinho: - Finalmente eu vou conheceire a Alemanha, fazeire a viagem dos meus sonhos. pena que eu não sei falaire alemão ... Mas eu vou dar um jeito! O balconista, que ouvia as lamúrias do português, esclarece: - O horário é nove e meia. Esteja aqui uma hora antes. Quanto a falar alemão, o senhor fala lentamente, pau-sa-da-men-te, que o senhor vai ser entendido! Assim que desembarca na Alemanha, o Manuel pega um táxi e diz: - Seu mo-to-ris-ta, eu que-ria que o se-nhor me le-vas-se num ho-tel ba-ra-to! E o motorista: - Eu co-nhe-ço um ho-tel ra-zo-á-vel-men-te ba-ra-to. - Quan-tos mar-cos cus-ta es-te ho-tel? -- Pergunta o Manuel. - A-pro-xi-ma-da-men-te vin-te mar-cos! -- Explicou o motorista, que pergunta: - De que ci-da-de o se-nho-re é? - Eu sou de Co-im-bra! -- Responde o Manuel. - Eu tam-bém sou de Co-im-bra! -- Completa o motorista. E o outro português sabiamente conclui:"," -Ora, poish, poish! Se nós dois somos portugueses, por que raius estamos os dois a falaire alemão?","O português resolveu conhecer a Alemanha. Comprou a passagem de avião e, enquanto preenchia a papelada, falava sozinho: - Finalmente eu vou conheceire a Alemanha, fazeire a viagem dos meus sonhos. pena que eu não sei falaire alemão ... Mas eu vou dar um jeito! O balconista, que ouvia as lamúrias do português, esclarece: - O horário é nove e meia. Esteja aqui uma hora antes. Quanto a falar alemão, o senhor fala lentamente, pau-sa-da-men-te, que o senhor vai ser entendido! Assim que desembarca na Alemanha, o Manuel pega um táxi e diz: - Seu mo-to-ris-ta, eu que-ria que o se-nhor me le-vas-se num ho-tel ba-ra-to! E o motorista: - Eu co-nhe-ço um ho-tel ra-zo-á-vel-men-te ba-ra-to. - Quan-tos mar-cos cus-ta es-te ho-tel? -- Pergunta o Manuel. - A-pro-xi-ma-da-men-te vin-te mar-cos! -- Explicou o motorista, que pergunta: - De que ci-da-de o se-nho-re é? - Eu sou de Co-im-bra! -- Responde o Manuel. - Eu tam-bém sou de Co-im-bra! -- Completa o motorista. E o outro português sabiamente conclui: -Ora, poish, poish! Se nós dois somos portugueses, por que raius estamos os dois a falaire alemão?",1001,99,1100,10.01,o portugues resolveu conhecer a alemanha. comprou a passagem de aviao e enquanto preenchia a papelada falava sozinho - finalmente eu vou conheceire a alemanha fazeire a viagem dos meus sonhos. pena que eu nao sei falaire alemao ... mas eu vou dar um jeito! o balconista que ouvia as lamurias do portugues esclarece - o horario e nove e meia. esteja aqui uma hora antes. quanto a falar alemao o senhor fala lentamente pau-sa-da-men-te que o senhor vai ser entendido! assim que desembarca na alemanha o manuel pega um taxi e diz - seu mo-to-ris-ta eu que-ria que o se-nhor me le-vas-se num ho-tel ba-ra-to! e o motorista - eu co-nhe-co um ho-tel ra-zo-a-vel-men-te ba-ra-to. - quan-tos mar-cos cus-ta es-te ho-tel? -- pergunta o manuel. - a-pro-xi-ma-da-men-te vin-te mar-cos! -- explicou o motorista que pergunta - de que ci-da-de o se-nho-re e? - eu sou de co-im-bra! -- responde o manuel. - eu tam-bem sou de co-im-bra! -- completa o motorista. e o outro portugues sabiamente conclui,-ora poish poish! se nos dois somos portugueses por que raius estamos os dois a falaire alemao?,168,17,82,3,True,True,0.621301775147929
250,Por que os portugas não têm AIDS?, Porque Deus não castiga duas vezes.,Por que os portugas não têm AIDS? Porque Deus não castiga duas vezes.,33,36,69,0.8918918918918919,por que os portugas nao tem aids?,porque deus nao castiga duas vezes.,7,6,1,1,True,False,0.875
251,Porque o caminhão de gás com musiquinha não deu certo em Portugal?, Porque na primeira curva a bandinha caiu do caminhão.,Porque o caminhão de gás com musiquinha não deu certo em Portugal? Porque na primeira curva a bandinha caiu do caminhão.,66,54,120,1.2,porque o caminhao de gas com musiquinha nao deu certo em portugal?,porque na primeira curva a bandinha caiu do caminhao.,12,9,1,1,True,False,0.9230769230769231
252,"Sabe o que vem escrito na sola de sapato, em Portugal?", R: Este lado para baixo E na palmilha? R: Primeiro os dedos.,"Sabe o que vem escrito na sola de sapato, em Portugal? R: Este lado para baixo E na palmilha? R: Primeiro os dedos.",54,61,115,0.8709677419354839,sabe o que vem escrito na sola de sapato em portugal?,r este lado para baixo e na palmilha? r primeiro os dedos.,11,12,1,2,True,False,0.9166666666666666
253,"Um português vendedor estava há muito tempo sem tirar um pedido sequer. Foi a uma loja e finalmente alguém resolveu comprar alguma coisa do coitado. Ele, então, abriu a pasta e viu que tinha esquecido o talão de pedido. Ficou super nervoso, afinal há tempos não ganhava uma grana. Pediu licença e saiu correndo pra casa pra pegar o tal talão. No meio do caminho topou com uma lâmpada mágica, e de lá saiu um gênio dizendo: - Você é um rapaz de muita sorte... Tem direito a 3 pedidos... E o gajo:", - Porrrrrra! Justo hoje que esqueci o talão!,"Um português vendedor estava há muito tempo sem tirar um pedido sequer. Foi a uma loja e finalmente alguém resolveu comprar alguma coisa do coitado. Ele, então, abriu a pasta e viu que tinha esquecido o talão de pedido. Ficou super nervoso, afinal há tempos não ganhava uma grana. Pediu licença e saiu correndo pra casa pra pegar o tal talão. No meio do caminho topou com uma lâmpada mágica, e de lá saiu um gênio dizendo: - Você é um rapaz de muita sorte... Tem direito a 3 pedidos... E o gajo: - Porrrrrra! Justo hoje que esqueci o talão!",495,45,540,10.76086956521739,um portugues vendedor estava ha muito tempo sem tirar um pedido sequer. foi a uma loja e finalmente alguem resolveu comprar alguma coisa do coitado. ele entao abriu a pasta e viu que tinha esquecido o talao de pedido. ficou super nervoso afinal ha tempos nao ganhava uma grana. pediu licenca e saiu correndo pra casa pra pegar o tal talao. no meio do caminho topou com uma lampada magica e de la saiu um genio dizendo - voce e um rapaz de muita sorte... tem direito a 3 pedidos... e o gajo,- porrrrrra! justo hoje que esqueci o talao!,93,8,13,3,False,True,0.776595744680851
254,"Um português, de passeio pelo Brasil, pergunta a um brasileiro: - que ônibus devo pegar para chegar ao Maracanã? - O número 48 Depois de 3 horas, o brasileiro sai do trabalho e o português ainda está lá no ponto, e pergunta: - O que você está fazendo aqui ainda?", - Oh gajo! Até agora só passaram 39!,"Um português, de passeio pelo Brasil, pergunta a um brasileiro: - que ônibus devo pegar para chegar ao Maracanã? - O número 48 Depois de 3 horas, o brasileiro sai do trabalho e o português ainda está lá no ponto, e pergunta: - O que você está fazendo aqui ainda? - Oh gajo! Até agora só passaram 39!",262,37,299,6.894736842105263,um portugues de passeio pelo brasil pergunta a um brasileiro - que onibus devo pegar para chegar ao maracana? - o numero 48 depois de 3 horas o brasileiro sai do trabalho e o portugues ainda esta la no ponto e pergunta - o que voce esta fazendo aqui ainda?,- oh gajo! ate agora so passaram 39!,50,8,8,5,True,True,0.7254901960784313
255,"Uma vez um português vai ao médico e diz a ele: - Doutoire, quando eu me toco aqui, dói; quando toco cá, dói também; quando toco a cabeça, dói; depois de comer, toco aqui e continua doendo! que devo fazer doutoire? E o médico diz:"," - Não seja imbecil, você tá com o dedo quebrado!","Uma vez um português vai ao médico e diz a ele: - Doutoire, quando eu me toco aqui, dói; quando toco cá, dói também; quando toco a cabeça, dói; depois de comer, toco aqui e continua doendo! que devo fazer doutoire? E o médico diz: - Não seja imbecil, você tá com o dedo quebrado!",230,49,279,4.6,uma vez um portugues vai ao medico e diz a ele - doutoire quando eu me toco aqui doi quando toco ca doi tambem quando toco a cabeca doi depois de comer toco aqui e continua doendo! que devo fazer doutoire? e o medico diz,- nao seja imbecil voce ta com o dedo quebrado!,45,10,3,2,True,True,0.6956521739130435
256,Um juiz muito conhecido pela sua excelente memória aponta a bengala a um acusado e diz: - Na ponta de minha bengala está um famigerado canalha, - Em qual das pontas senhor doutoire?,Um juiz muito conhecido pela sua excelente memória aponta a bengala a um acusado e diz: - Na ponta de minha bengala está um famigerado canalha - Em qual das pontas senhor doutoire?,142,38,180,3.641025641025641,um juiz muito conhecido pela sua excelente memoria aponta a bengala a um acusado e diz - na ponta de minha bengala esta um famigerado canalha,- em qual das pontas senhor doutoire?,26,7,1,2,False,True,0.8148148148148148
257,- Pelo seu exame de urina eu posso lhe afirmar que o senhor está com diabetes - Mas o que é isso doutor? - É açúcar na urina...," - Ah... então a Maria chupava por gulodice, e não por prazer.","- Pelo seu exame de urina eu posso lhe afirmar que o senhor está com diabetes - Mas o que é isso doutor? - É açúcar na urina... - Ah... então a Maria chupava por gulodice, e não por prazer.",127,62,189,2.015873015873016,- pelo seu exame de urina eu posso lhe afirmar que o senhor esta com diabetes - mas o que e isso doutor? - e acucar na urina...,- ah... entao a maria chupava por gulodice e nao por prazer.,28,12,7,5,True,True,0.7931034482758621
258,"- Caro professor? - Sim Pedrinho? - Como poderei saber se realmente sou um homem? - Bem, rapaz, quando tu passares a mão em baixo e sentires duas bolas, saberás que és um homem, agora tem um detalhe, se passares a mão e sentires quatro bolas, não penses que tu és um super homem.", Tem alguém por trás te enrabando.,"- Caro professor? - Sim Pedrinho? - Como poderei saber se realmente sou um homem? - Bem, rapaz, quando tu passares a mão em baixo e sentires duas bolas, saberás que és um homem, agora tem um detalhe, se passares a mão e sentires quatro bolas, não penses que tu és um super homem. Tem alguém por trás te enrabando.",279,34,313,7.9714285714285715,- caro professor? - sim pedrinho? - como poderei saber se realmente sou um homem? - bem rapaz quando tu passares a mao em baixo e sentires duas bolas saberas que es um homem agora tem um detalhe se passares a mao e sentires quatro bolas nao penses que tu es um super homem.,tem alguem por tras te enrabando.,54,6,8,1,True,True,0.6909090909090909
259,"Um português estava a tentar atravessar a estrada, mas estava muito nervoso, com medo dos carros. Um brasileiro que passava por ali viu a cena e decidiu ajudar: - Calma, amigo! Quando o sinal ficar verde, você atravessa. O português, confiante, espera o sinal ficar verde e atravessa. No meio da rua, um carro em alta velocidade quase o atropela. Ele volta correndo para a calçada e grita: - Ó gajo, tu disseste que era seguro! - O brasileiro responde:"," - E é! Verde é a cor da segurança, não é?!","Um português estava a tentar atravessar a estrada, mas estava muito nervoso, com medo dos carros. Um brasileiro que passava por ali viu a cena e decidiu ajudar: - Calma, amigo! Quando o sinal ficar verde, você atravessa. O português, confiante, espera o sinal ficar verde e atravessa. No meio da rua, um carro em alta velocidade quase o atropela. Ele volta correndo para a calçada e grita: - Ó gajo, tu disseste que era seguro! - O brasileiro responde: - E é! Verde é a cor da segurança, não é?!",452,43,495,10.272727272727273,um portugues estava a tentar atravessar a estrada mas estava muito nervoso com medo dos carros. um brasileiro que passava por ali viu a cena e decidiu ajudar - calma amigo! quando o sinal ficar verde voce atravessa. o portugues confiante espera o sinal ficar verde e atravessa. no meio da rua um carro em alta velocidade quase o atropela. ele volta correndo para a calcada e grita - o gajo tu disseste que era seguro! - o brasileiro responde,- e e! verde e a cor da seguranca nao e?!,80,11,9,4,False,True,0.7160493827160493
260,"O Manuel comprou um rádio novo e ficou horas tentando sintonizar. A Maria chega e pergunta: - Ó Manuel, por que estás a mexer tanto nesse rádio? - Estou a tentar apanhar a BBC de Londres! - E já conseguiste?"," - Ainda não, mas já apanhei um tal de Bebê Cê de Lisboa!","O Manuel comprou um rádio novo e ficou horas tentando sintonizar. A Maria chega e pergunta: - Ó Manuel, por que estás a mexer tanto nesse rádio? - Estou a tentar apanhar a BBC de Londres! - E já conseguiste? - Ainda não, mas já apanhei um tal de Bebê Cê de Lisboa!",207,57,264,3.5689655172413794,o manuel comprou um radio novo e ficou horas tentando sintonizar. a maria chega e pergunta - o manuel por que estas a mexer tanto nesse radio? - estou a tentar apanhar a bbc de londres! - e ja conseguiste?,- ainda nao mas ja apanhei um tal de bebe ce de lisboa!,40,13,7,2,True,True,0.7560975609756098
261,"O Joaquim vai ao dentista e diz: - Doutor, tenho um dente que não para de doer! O dentista examina e responde: - Pois é, este dente está podre, temos que tirar. - Tirar?! Mas doutor, e se eu quiser ficar com ele?"," - Ora, Manuel, podes ficar com ele... num frasco com álcool!","O Joaquim vai ao dentista e diz: - Doutor, tenho um dente que não para de doer! O dentista examina e responde: - Pois é, este dente está podre, temos que tirar. - Tirar?! Mas doutor, e se eu quiser ficar com ele? - Ora, Manuel, podes ficar com ele... num frasco com álcool!",212,61,273,3.4193548387096775,o joaquim vai ao dentista e diz - doutor tenho um dente que nao para de doer! o dentista examina e responde - pois e este dente esta podre temos que tirar. - tirar?! mas doutor e se eu quiser ficar com ele?,- ora manuel podes ficar com ele... num frasco com alcool!,43,11,8,5,True,True,0.75
262,"O português entra numa loja de eletrodomésticos e pergunta: - Ó senhor, tem máquina de lavar que também seca a roupa? - Temos sim, esta aqui lava e seca! - E faz o jantar também? - Não, isso não faz."," - Então não presta, vou levar só a que faz o jantar!","O português entra numa loja de eletrodomésticos e pergunta: - Ó senhor, tem máquina de lavar que também seca a roupa? - Temos sim, esta aqui lava e seca! - E faz o jantar também? - Não, isso não faz. - Então não presta, vou levar só a que faz o jantar!",199,53,252,3.685185185185185,o portugues entra numa loja de eletrodomesticos e pergunta - o senhor tem maquina de lavar que tambem seca a roupa? - temos sim esta aqui lava e seca! - e faz o jantar tambem? - nao isso nao faz.,- entao nao presta vou levar so a que faz o jantar!,40,12,8,2,True,True,0.7560975609756098
263,"O Manuel estava a contar para o Joaquim: - Ontem fui ao cinema e o filme era tão triste que chorei a noite toda! - Qual era o filme, Manuel? - Titanic! - Mas Manuel, esse filme não é tão triste assim!", - Como não? Afundou o barco e eu que paguei o bilhete!,"O Manuel estava a contar para o Joaquim: - Ontem fui ao cinema e o filme era tão triste que chorei a noite toda! - Qual era o filme, Manuel? - Titanic! - Mas Manuel, esse filme não é tão triste assim! - Como não? Afundou o barco e eu que paguei o bilhete!",200,55,255,3.5714285714285716,o manuel estava a contar para o joaquim - ontem fui ao cinema e o filme era tao triste que chorei a noite toda! - qual era o filme manuel? - titanic! - mas manuel esse filme nao e tao triste assim!,- como nao? afundou o barco e eu que paguei o bilhete!,42,12,8,3,True,True,0.6511627906976745
264,"O português entra no banco e pergunta ao caixa: - Ó senhor, posso sacar dinheiro com o cartão da minha mulher? - Pode, desde que tenha a senha. - Senha? Mas ela nunca me deu nenhuma senha! - Então não posso ajudar, senhor."," - Ora, que raio! Então vou sacar com a minha cara de pau!","O português entra no banco e pergunta ao caixa: - Ó senhor, posso sacar dinheiro com o cartão da minha mulher? - Pode, desde que tenha a senha. - Senha? Mas ela nunca me deu nenhuma senha! - Então não posso ajudar, senhor. - Ora, que raio! Então vou sacar com a minha cara de pau!",222,58,280,3.76271186440678,o portugues entra no banco e pergunta ao caixa - o senhor posso sacar dinheiro com o cartao da minha mulher? - pode desde que tenha a senha. - senha? mas ela nunca me deu nenhuma senha! - entao nao posso ajudar senhor.,- ora que raio! entao vou sacar com a minha cara de pau!,43,13,9,3,True,True,0.8409090909090909
265,"O Joaquim estava a ler o jornal e vira-se para o Manuel: - Ó Manuel, aqui diz que descobriram vida em Marte! - E tu acreditas nisso, Joaquim?"," - Claro, se tem vida em Lisboa, por que não em Marte?!","O Joaquim estava a ler o jornal e vira-se para o Manuel: - Ó Manuel, aqui diz que descobriram vida em Marte! - E tu acreditas nisso, Joaquim? - Claro, se tem vida em Lisboa, por que não em Marte?!",141,55,196,2.517857142857143,o joaquim estava a ler o jornal e vira-se para o manuel - o manuel aqui diz que descobriram vida em marte! - e tu acreditas nisso joaquim?,- claro se tem vida em lisboa por que nao em marte?!,28,12,5,3,True,True,0.7586206896551724
266,"O português vai ao oftalmologista e o médico pergunta: - Consegue ler a última linha do cartaz? - Última linha? Mas doutor, onde está o cartaz? - Na parede, homem!", - Parede? Mas onde está a parede?!,"O português vai ao oftalmologista e o médico pergunta: - Consegue ler a última linha do cartaz? - Última linha? Mas doutor, onde está o cartaz? - Na parede, homem! - Parede? Mas onde está a parede?!",163,35,198,4.527777777777778,o portugues vai ao oftalmologista e o medico pergunta - consegue ler a ultima linha do cartaz? - ultima linha? mas doutor onde esta o cartaz? - na parede homem!,- parede? mas onde esta a parede?!,30,7,7,4,True,True,0.7741935483870968
267,"O Manuel comprou um carro novo e foi mostrar ao Joaquim: - Olha só, Joaquim, este carro tem air-bag, ABS e GPS! - Eita, Manuel, isso é carro ou nave espacial?"," - Nave espacial não, mas já me perdi três vezes tentando sair da garagem!","O Manuel comprou um carro novo e foi mostrar ao Joaquim: - Olha só, Joaquim, este carro tem air-bag, ABS e GPS! - Eita, Manuel, isso é carro ou nave espacial? - Nave espacial não, mas já me perdi três vezes tentando sair da garagem!",158,74,232,2.1066666666666665,o manuel comprou um carro novo e foi mostrar ao joaquim - olha so joaquim este carro tem air-bag abs e gps! - eita manuel isso e carro ou nave espacial?,- nave espacial nao mas ja me perdi tres vezes tentando sair da garagem!,31,14,5,2,True,True,0.75
268,"O português entra numa farmácia e pergunta: - Tem remédio para memória? - Temos sim, senhor. - Ótimo! E para que serve esse remédio? - Serve para melhorar a memória."," - Boa! Me dá dois, que eu já esqueci por que vim aqui!","O português entra numa farmácia e pergunta: - Tem remédio para memória? - Temos sim, senhor. - Ótimo! E para que serve esse remédio? - Serve para melhorar a memória. - Boa! Me dá dois, que eu já esqueci por que vim aqui!",165,55,220,2.9464285714285716,o portugues entra numa farmacia e pergunta - tem remedio para memoria? - temos sim senhor. - otimo! e para que serve esse remedio? - serve para melhorar a memoria.,- boa! me da dois que eu ja esqueci por que vim aqui!,30,13,9,3,True,True,0.7419354838709677
269,"O Joaquim estava a tentar consertar a torneira de casa. A Maria chega e pergunta: - Ó Joaquim, já consertaste a torneira? - Ainda não, Maria, esta torneira é teimosa! - Teimosa? Como assim?"," - Eu giro para a esquerda, ela pinga. Giro para a direita, ela pinga. Acho que ela quer dançar!","O Joaquim estava a tentar consertar a torneira de casa. A Maria chega e pergunta: - Ó Joaquim, já consertaste a torneira? - Ainda não, Maria, esta torneira é teimosa! - Teimosa? Como assim? - Eu giro para a esquerda, ela pinga. Giro para a direita, ela pinga. Acho que ela quer dançar!",189,96,285,1.9484536082474226,o joaquim estava a tentar consertar a torneira de casa. a maria chega e pergunta - o joaquim ja consertaste a torneira? - ainda nao maria esta torneira e teimosa! - teimosa? como assim?,- eu giro para a esquerda ela pinga. giro para a direita ela pinga. acho que ela quer dancar!,34,19,8,4,True,True,0.6857142857142857
270,"O português vai ao restaurante e pede: - Garçom, traz-me um prato que seja rápido! - Temos sopa, senhor."," - Sopa não, que eu não quero esperar a colher esfriar!","O português vai ao restaurante e pede: - Garçom, traz-me um prato que seja rápido! - Temos sopa, senhor. - Sopa não, que eu não quero esperar a colher esfriar!",104,55,159,1.8571428571428572,o portugues vai ao restaurante e pede - garcom traz-me um prato que seja rapido! - temos sopa senhor.,- sopa nao que eu nao quero esperar a colher esfriar!,19,11,5,2,False,True,0.9
271,"O Manuel estava a olhar para o céu e diz ao Joaquim: - Olha, Joaquim, uma estrela cadente! Faz um pedido!"," - Já fiz, Manuel! Pedi para não cair nenhuma na minha cabeça!","O Manuel estava a olhar para o céu e diz ao Joaquim: - Olha, Joaquim, uma estrela cadente! Faz um pedido! - Já fiz, Manuel! Pedi para não cair nenhuma na minha cabeça!",105,62,167,1.6666666666666667,o manuel estava a olhar para o ceu e diz ao joaquim - olha joaquim uma estrela cadente! faz um pedido!,- ja fiz manuel! pedi para nao cair nenhuma na minha cabeca!,21,12,3,3,False,True,0.8636363636363636
272,"O português entra numa loja de animais e pergunta: - Ó senhor, este papagaio fala? - Fala sim, senhor, e em três línguas! - Três línguas? Então ele é português, brasileiro e quê mais? - Não, senhor, é inglês, francês e alemão!"," - Ó raios, então é papagaio de rico!","O português entra numa loja de animais e pergunta: - Ó senhor, este papagaio fala? - Fala sim, senhor, e em três línguas! - Três línguas? Então ele é português, brasileiro e quê mais? - Não, senhor, é inglês, francês e alemão! - Ó raios, então é papagaio de rico!",226,37,263,5.947368421052632,o portugues entra numa loja de animais e pergunta - o senhor este papagaio fala? - fala sim senhor e em tres linguas! - tres linguas? entao ele e portugues brasileiro e que mais? - nao senhor e ingles frances e alemao!,- o raios entao e papagaio de rico!,42,8,9,2,True,True,0.6744186046511628
273,"O Joaquim vai ao mercado e pergunta: - Ó senhor, estas maçãs são frescas? - Frescas, senhor, colhidas hoje!", - Colhidas hoje? Então por que estão com cara de ontem?!,"O Joaquim vai ao mercado e pergunta: - Ó senhor, estas maçãs são frescas? - Frescas, senhor, colhidas hoje! - Colhidas hoje? Então por que estão com cara de ontem?!",107,57,164,1.8448275862068966,o joaquim vai ao mercado e pergunta - o senhor estas macas sao frescas? - frescas senhor colhidas hoje!,- colhidas hoje? entao por que estao com cara de ontem?!,19,11,4,4,True,True,0.8
274,"O Manuel estava a tentar montar um móvel novo. A Maria chega e pergunta: - Ó Manuel, já terminaste o móvel? - Quase, Maria, só falta uma peça! - Qual peça?", - A minha paciência!,"O Manuel estava a tentar montar um móvel novo. A Maria chega e pergunta: - Ó Manuel, já terminaste o móvel? - Quase, Maria, só falta uma peça! - Qual peça? - A minha paciência!",155,21,176,7.045454545454546,o manuel estava a tentar montar um movel novo. a maria chega e pergunta - o manuel ja terminaste o movel? - quase maria so falta uma peca! - qual peca?,- a minha paciencia!,31,4,7,2,True,True,0.75
275,"O português entra numa loja de roupas e pergunta: - Ó senhor, tem camisa que não amarrota? - Temos sim, senhor, esta aqui é à prova de amassados!"," - Boa, leva duas! Uma para usar e outra para amassar em casa!","O português entra numa loja de roupas e pergunta: - Ó senhor, tem camisa que não amarrota? - Temos sim, senhor, esta aqui é à prova de amassados! - Boa, leva duas! Uma para usar e outra para amassar em casa!",145,62,207,2.3015873015873014,o portugues entra numa loja de roupas e pergunta - o senhor tem camisa que nao amarrota? - temos sim senhor esta aqui e a prova de amassados!,- boa leva duas! uma para usar e outra para amassar em casa!,28,13,4,3,True,True,0.7931034482758621
276,"O Joaquim estava a contar para o Manuel: - Sabes, Manuel, ontem sonhei que era rico! - E o que fizeste com a riqueza, Joaquim? - Comprei um castelo em Lisboa! - E por que não no Brasil?", - Porque no Brasil os castelos são de areia!,"O Joaquim estava a contar para o Manuel: - Sabes, Manuel, ontem sonhei que era rico! - E o que fizeste com a riqueza, Joaquim? - Comprei um castelo em Lisboa! - E por que não no Brasil? - Porque no Brasil os castelos são de areia!",185,45,230,4.021739130434782,o joaquim estava a contar para o manuel - sabes manuel ontem sonhei que era rico! - e o que fizeste com a riqueza joaquim? - comprei um castelo em lisboa! - e por que nao no brasil?,- porque no brasil os castelos sao de areia!,38,9,8,2,True,True,0.717948717948718
277,"O português vai ao barbeiro e diz: - Ó senhor, corta só as pontas, que eu quero manter o estilo! - Estilo, senhor? Mas seu cabelo parece um ninho de passarinho!"," - Exato, é o estilo ninho chique!","O português vai ao barbeiro e diz: - Ó senhor, corta só as pontas, que eu quero manter o estilo! - Estilo, senhor? Mas seu cabelo parece um ninho de passarinho! - Exato, é o estilo ninho chique!",160,34,194,4.571428571428571,o portugues vai ao barbeiro e diz - o senhor corta so as pontas que eu quero manter o estilo! - estilo senhor? mas seu cabelo parece um ninho de passarinho!,- exato e o estilo ninho chique!,31,7,5,2,True,True,0.875
278,"O Manuel estava a tentar abrir uma garrafa de vinho. A Maria chega e diz: - Ó Manuel, usa o saca-rolhas!", - Saca-rolhas? Eu pensei que era só puxar com força e gritar 'abre-te Sésamo'!,"O Manuel estava a tentar abrir uma garrafa de vinho. A Maria chega e diz: - Ó Manuel, usa o saca-rolhas! - Saca-rolhas? Eu pensei que era só puxar com força e gritar 'abre-te Sésamo'!",104,79,183,1.3,o manuel estava a tentar abrir uma garrafa de vinho. a maria chega e diz - o manuel usa o saca-rolhas!,- saca-rolhas? eu pensei que era so puxar com forca e gritar abre-te sesamo!,21,14,4,5,False,True,0.7727272727272727
